alcaldia,latitud,longitud,alcaldia_id,año
Milpa Alta,19.219028,-98.991283,9,2022
Milpa Alta,19.21988,-99.002227,9,2022
Milpa Alta,19.218343,-98.997507,9,2022
Milpa Alta,19.219277,-98.996269,9,2022
Milpa Alta,19.222071,-98.99776,9,2022
Milpa Alta,19.219022,-98.9974,9,2022
Milpa Alta,19.21849,-98.99119,9,2022
Milpa Alta,19.219421,-98.996233,9,2022
Milpa Alta,19.21988,-99.002227,9,2022
Milpa Alta,19.220248,-98.997127,9,2022
Milpa Alta,19.220915,-98.996576,9,2022
Milpa Alta,19.220554,-98.996161,9,2022
Milpa Alta,19.179889,-99.006285,9,2022
Milpa Alta,19.218739,-99.001828,9,2022
Milpa Alta,19.221383,-98.997973,9,2022
Milpa Alta,19.220085,-98.998196,9,2022
Tlalpan,19.268509,-99.241868,12,2022
Milpa Alta,19.188557,-98.996908,9,2022
Milpa Alta,19.220312,-98.997036,9,2022
Milpa Alta,19.219783,-98.996297,9,2022
Milpa Alta,19.21854,-98.997689,9,2022
Milpa Alta,19.22017,-98.996293,9,2022
Milpa Alta,19.220917,-99.001469,9,2022
Milpa Alta,19.220766,-99.001656,9,2022
Milpa Alta,19.220795,-98.999396,9,2022
Milpa Alta,19.218878,-98.996861,9,2022
Milpa Alta,19.222122,-99.001422,9,2022
Milpa Alta,19.218078,-98.997522,9,2022
Milpa Alta,19.22201,-98.998646,9,2022
Milpa Alta,19.220947,-98.997023,9,2022
Milpa Alta,19.196844,-99.090491,9,2022
Milpa Alta,19.220889,-98.997075,9,2022
Milpa Alta,19.220839,-99.001513,9,2022
Milpa Alta,19.170414,-99.030948,9,2022
Milpa Alta,19.221773,-99.000796,9,2022
Milpa Alta,19.221014,-99.000671,9,2022
Milpa Alta,19.222324,-99.001821,9,2022
Milpa Alta,19.222692,-98.999567,9,2022
Milpa Alta,19.220846,-98.999951,9,2022
Milpa Alta,19.221224,-98.994043,9,2022
Milpa Alta,19.217548,-98.99344,9,2022
Milpa Alta,19.219438,-98.996254,9,2022
Milpa Alta,19.219503,-98.996544,9,2022
Milpa Alta,19.222642,-98.999271,9,2022
Milpa Alta,19.221102,-98.990169,9,2022
Milpa Alta,19.220364,-98.996646,9,2022
Milpa Alta,19.220378,-98.997318,9,2022
Milpa Alta,19.221505,-98.994137,9,2022
Milpa Alta,19.219022,-98.9974,9,2022
Milpa Alta,19.220496,-99.001849,9,2022
Tlalpan,19.268901,-99.202854,12,2022
Milpa Alta,19.213843,-98.986503,9,2022
Milpa Alta,19.22064,-99.001954,9,2022
Milpa Alta,19.220314,-98.990333,9,2022
Milpa Alta,19.179132,-99.007079,9,2022
Milpa Alta,19.192961,-99.006509,9,2022
Milpa Alta,19.220119,-98.989166,9,2022
